product_id,name,category,brand,price,weight_kg,supplier_id
e64c3401-c18c-42eb-8c88-97529fae4dc8,Profound client-driven interface,apparel,Myers-Garcia,241.99,1.042,f4f3c87c-0085-4cc5-a4d4-494f5b463c1a
2d73cf5d-cc58-4661-a06c-6c7b22c83a25,Re-engineered cohesive paradigm,electronics,Walker Inc,1750.87,2.093,f4f3c87c-0085-4cc5-a4d4-494f5b463c1a
d75630e9-90d2-47af-8f20-7bb5989c4f78,Down-sized bottom-line Local Area Network,automotive,Dominguez LLC,1305.44,24.341,ddb31e0c-2bd0-4195-9f9c-e21e6886906d
318b26a2-f5d7-4b4f-a72b-07926f9b2125,Multi-tiered reciprocal workforce,books,Cook-Perez,39.4,1.923,bd43a43e-78c8-4509-84a0-b80614dd4974
c648ab79-ad52-4415-bf04-3af30b3572df,Integrated well-modulated projection,home_goods,Swanson PLC,286.15,5.028,fde6eeb0-7d12-47b4-ad38-ec7273dd2ce3
359eb2bc-ebd8-4162-a944-98b6c0f54e9d,Reduced optimizing system engine,beauty,Landry LLC,74.12,0.288,a83dd71e-84a7-41b3-b0f6-bae225ce6003
2d390613-0127-440e-8f65-7cfff40593aa,Profit-focused responsive open system,apparel,Walker Inc,93.28,0.455,1df0056e-1b52-424b-90a4-c23658a7cea6
e47c6d56-99ff-477d-8c27-7201e8cd23cf,Profound tangible alliance,electronics,Vazquez-Miller,599.9,2.302,f6a0a54c-66a4-480f-9f19-5e01d8abd326
0a5cc651-66e4-4e6a-b098-e7842c8cc436,Diverse multi-tasking utilization,food,Bowman-Parks,62.3,1.537,a3f86db8-ed54-4793-9186-d55375ec360c
478025a4-f04b-4eb1-97e5-5380114d1723,User-centric local capacity,sports,Mcmahon-Stewart,796.99,2.691,74cbed2b-cfc8-48a6-99be-051b71e30132
20b5af38-5ef7-4eaa-9820-ad650638c4bd,Sharable actuating array,apparel,"Bailey, Sullivan and Madden",263.78,1.211,f4f3c87c-0085-4cc5-a4d4-494f5b463c1a
6c41ea8e-3813-45d2-b4f6-ca135c24830b,Managed heuristic moderator,apparel,Butler LLC,147.63,1.257,21768688-eead-4ce8-a714-53fe10453952
98f438d6-f7a1-4005-90a6-295c0a2e1c44,Upgradable bandwidth-monitored software,tools,Wilson-Maxwell,219.1,4.846,bd4afc89-f0ee-417c-93d0-8697bb312791
7daf1809-d3e6-4f8e-aaa6-d6078985b433,Organized grid-enabled migration,apparel,White and Sons,99.3,0.622,8eb6c0fb-8797-4ead-859e-d62d8a68a0b2
a9918510-e98b-4acd-a0e5-b04aef16292b,Reverse-engineered heuristic middleware,jewelry,"Sims, Valencia and Martin",1086.84,0.176,451b3e5c-72e0-4b9a-98f8-fffa9eacb901
f5f36f0b-edb5-49ec-8e81-94063863cd5c,Face-to-face discrete collaboration,home_goods,"Rodriguez, Taylor and Santos",304.93,8.823,e897100e-970c-4a10-95bc-ba3758e2fb22
776b3ddd-51e1-435c-9102-99e6452acb0f,Advanced homogeneous utilization,other,Johnson LLC,113.11,2.769,df70d7a0-0638-447b-b12e-56bbee5b4d93
c2cfc04e-2ca6-4c7d-9dc9-b774a7836515,Universal encompassing artificial intelligence,electronics,Campbell-Payne,787.36,4.494,0d051bfb-41a4-46ca-9869-5ff0b606404c
13cac9bc-dea0-4b93-8e7d-e4cd86e4f3a9,Mandatory dynamic portal,toys,Ward-Williams,11.19,2.382,45c68f03-154e-4892-b507-7148deb10494
